projected_points,confidence_lower,confidence_upper,confidence_level,player_id,player_name,position,team,week,season
8.5,0.0,35.66,0.95,00-0039398,Joe Milton III,QB,DAL,5,2025
8.49,0.0,21.69,0.95,00-0037664,Alec Pierce,WR,IND,5,2025
8.47,0.0,18.87,0.95,00-0036626,Dyami Brown,WR,JAX,5,2025
8.44,0.0,25.17,0.95,00-0029604,Kirk Cousins,QB,ATL,5,2025
8.39,0.0,17.49,0.95,00-0037801,KaVontae Turpin,WR,DAL,5,2025
8.34,0.0,18.37,0.95,00-0038935,Brenton Strange,TE,JAX,5,2025
8.25,0.0,18.75,0.95,00-0037263,Tyler Allgeier,RB,ATL,5,2025
8.19,0.0,22.83,0.95,00-0039165,Zach Charbonnet,RB,SEA,5,2025
8.18,0.0,20.57,0.95,00-0039901,Keon Coleman,WR,BUF,5,2025
8.18,0.0,19.76,0.95,00-0037112,Jake Tonges,TE,SF,5,2025
8.17,0.46,15.88,0.95,00-0039921,Trey Benson,RB,ARI,5,2025
8.16,0.0,22.44,0.95,00-0035289,Gardner Minshew,QB,KC,5,2025
8.15,0.0,22.63,0.95,00-0037197,Isiah Pacheco,RB,KC,5,2025
8.11,0.0,24.51,0.95,00-0037077,Sam Howell,QB,PHI,5,2025
8.11,0.0,22.39,0.95,00-0036407,Jerry Jeudy,WR,CLE,5,2025
8.09,0.0,22.06,0.95,00-0033885,David Njoku,TE,CLE,5,2025
8.09,0.34,15.84,0.95,00-0035644,Noah Fant,TE,CIN,5,2025
7.96,0.0,20.25,0.95,00-0038997,Josh Downs,WR,IND,5,2025
7.93,0.0,20.37,0.95,00-0040719,Bhayshul Tuten,RB,JAX,5,2025
7.92,0.0,18.61,0.95,00-0034983,Hunter Renfrow,WR,CAR,5,2025
7.89,0.0,20.2,0.95,00-0033699,Austin Ekeler,RB,WAS,5,2025
7.84,7.84,7.84,0.95,00-0038488,Brady Russell,RB,SEA,5,2025
7.84,0.0,23.42,0.95,00-0037563,Malik Davis,RB,DAL,5,2025
7.84,7.84,7.84,0.95,00-0036950,Avery Williams,RB,PHI,5,2025
7.84,0.0,23.42,0.95,00-0040649,Robbie Ouzts,RB,SEA,5,2025
7.84,0.0,23.42,0.95,00-0039230,Dante Miller,RB,NYG,5,2025
7.84,0.0,23.42,0.95,00-0039385,Keilan Robinson,RB,NYJ,5,2025
7.84,0.0,23.42,0.95,00-0040476,Ulysses Bentley IV,RB,IND,5,2025
7.74,0.0,17.37,0.95,00-0033857,JuJu Smith-Schuster,WR,KC,5,2025
7.66,0.0,22.46,0.95,00-0036261,Brandon Aiyuk,WR,SF,5,2025
7.65,0.0,15.86,0.95,00-0040663,Harold Fannin Jr.,TE,CLE,5,2025
7.63,0.0,18.53,0.95,00-0034383,Dalton Schultz,TE,HOU,5,2025
7.62,0.0,19.06,0.95,00-0036550,Rashod Bateman,WR,BAL,5,2025
7.57,0.0,22.22,0.95,00-0031345,Jimmy Garoppolo,QB,LA,5,2025
7.48,0.0,18.8,0.95,00-0033923,Kareem Hunt,RB,KC,5,2025
7.46,0.0,17.7,0.95,00-0040242,Jacory Croskey-Merritt,RB,WAS,5,2025
7.45,0.0,20.75,0.95,00-0039384,Tyrone Tracy Jr.,RB,NYG,5,2025
7.41,0.0,23.12,0.95,00-0034837,Calvin Ridley,WR,TEN,5,2025
7.37,7.37,7.37,0.95,00-0039521,Xavier Weaver,WR,ARI,5,2025
7.37,7.37,7.37,0.95,00-0038477,Bryce Ford-Wheaton,WR,NYG,5,2025
7.37,7.37,7.37,0.95,00-0037156,Irvin Charles,WR,NYJ,5,2025
7.37,7.37,7.37,0.95,00-0038891,Shedrick Jackson,WR,LV,5,2025
7.37,0.0,22.63,0.95,00-0038911,Malik Cunningham,WR,DET,5,2025
7.37,0.0,22.63,0.95,00-0038728,Jared Wayne,WR,HOU,5,2025
7.37,7.37,7.37,0.95,00-0038590,Justin Shorter,WR,LV,5,2025
7.37,7.37,7.37,0.95,00-0032208,Phillip Dorsett,WR,LV,5,2025
7.37,0.0,22.63,0.95,00-0036959,Michael Bandy,WR,DEN,5,2025
7.37,0.0,22.63,0.95,00-0040432,Beaux Collins,WR,NYG,5,2025
7.37,7.37,7.37,0.95,00-0037272,Montrell Washington,WR,NYG,5,2025
7.37,7.37,7.37,0.95,00-0040184,KeAndre Lambert-Smith,WR,LAC,5,2025
7.37,0.0,22.63,0.95,00-0035593,Juwann Winfree,WR,HOU,5,2025
7.37,7.37,7.37,0.95,00-0035544,Tom Kennedy,WR,DET,5,2025
7.37,7.37,7.37,0.95,00-0037380,Kaden Davis,WR,CLE,5,2025
7.37,7.37,7.37,0.95,00-0037387,Jalen Virgil,WR,BUF,5,2025
7.37,0.0,22.63,0.95,00-0040277,Jahdae Walker,WR,CHI,5,2025
7.37,0.0,22.63,0.95,00-0035876,Andre Baccellia,WR,ARI,5,2025
7.37,7.37,7.37,0.95,00-0040506,Myles Price,WR,MIN,5,2025
7.37,7.37,7.37,0.95,00-0037708,Maurice Alexander,WR,CHI,5,2025
7.37,7.37,7.37,0.95,00-0040075,LaJohntay Wester,WR,BAL,5,2025
7.37,0.0,22.63,0.95,00-0040629,Dalevon Campbell,WR,CAR,5,2025
7.37,0.0,22.63,0.95,00-0040646,Jalen Royals,WR,KC,5,2025
7.34,0.0,23.9,0.95,00-0038977,Tank Dell,WR,HOU,5,2025
7.33,0.0,19.51,0.95,00-0033537,Deshaun Watson,QB,CLE,5,2025
7.33,0.0,21.12,0.95,00-0034521,Allen Lazard,WR,NYJ,5,2025
7.31,0.0,15.73,0.95,00-0039793,AJ Barner,TE,SEA,5,2025
7.26,0.0,22.98,0.95,00-0030564,DeAndre Hopkins,WR,BAL,5,2025
7.25,0.0,22.64,0.95,00-0038108,Bailey Zappe,QB,CLE,5,2025
7.21,0.0,17.97,0.95,00-0035243,Miles Sanders,RB,DAL,5,2025
7.2,0.0,19.44,0.95,00-0040648,Tory Horton,WR,SEA,5,2025
7.14,0.0,21.49,0.95,00-0036290,Cole Kmet,TE,CHI,5,2025
7.13,0.0,20.88,0.95,00-0037257,David Bell,WR,CLE,5,2025
7.04,0.0,17.9,0.95,00-0037837,Calvin Austin III,WR,PIT,5,2025
